,id
2100,205663
2101,50025
2102,120577
2103,58237
2104,408968
2105,408336
2106,410117
2107,401889
2108,402186
2109,402384
2110,403378
2111,401976
2112,405780
2113,405167
2114,406786
2115,407823
2116,266801
2117,131173
2118,380701
2119,42082
2120,16146
2121,26656
2122,17475
2123,61232
2124,409134
2125,230055
2126,409280
2127,55607
2128,232480
2129,400901
2130,394405
2131,400969
2132,401070
2133,400923
2134,401773
2135,402146
2136,351978
2137,402864
2138,405950
2139,40088
2140,406479
2141,406523
2142,407386
2143,407687
2144,249358
2145,98969
2146,400768
2147,223593
2148,96317
2149,38495
2150,221505
2151,343107
2152,250366
2153,408521
2154,402424
2155,408847
2156,47553
2157,60628
2158,380045
2159,400791
2160,401033
2161,401105
2162,401240
2163,401963
2164,402048
2165,397723
2166,402922
2167,402946
2168,403281
2169,403837
2170,404919
2171,405193
2172,407800
2173,13391
2174,406347
2175,11400
2176,69450
2177,8397
2178,3699
2179,384284
2180,408518
2181,409808
2182,84664
2183,337929
2184,400636
2185,400832
2186,400905
2187,336830
2188,400957
2189,401393
2190,401451
2191,401529
2192,401890
2193,401943
2194,402326
2195,402371
2196,402370
2197,403360
2198,403446
2199,403550
2200,403611
2201,404582
2202,404933
2203,403856
2204,82713
2205,82543
2206,402611
2207,44775
2208,18127
2209,55908
2210,93795
2211,27663
2212,408411
2213,409703
2214,17370
2215,140098
2216,401369
2217,401469
2218,401531
2219,85266
2220,401772
2221,402107
2222,402640
2223,403235
2224,402286
2225,404740
2226,407838
2227,80339
2228,113592
2229,77447
2230,271086
2231,10820
2232,73236
2233,122601
2234,92540
2235,400883
2236,401501
2237,401726
2238,401763
2239,401915
2240,402694
2241,403735
2242,383731
2243,359653
2244,406250
2245,407695
2246,31586
2247,67655
2248,100836
2249,408384
2250,12259
2251,5106
2252,60334
2253,389908
2254,13992
2255,25337
2256,322251
2257,168280
2258,3309
2259,215493
2260,402770
2261,342003
2262,400902
2263,401061
2264,401199
2265,402457
2266,402999
2267,404250
2268,404315
2269,404906
2270,405393
2271,406975
2272,325944
2273,96273
2274,78210
2275,30147
2276,43830
2277,30661
2278,393709
2279,13940
2280,77923
2281,22860
2282,408872
2283,409978
2284,405981
2285,406190
2286,406883
2287,400828
2288,401009
2289,401062
2290,401074
2291,291644
2292,401389
2293,401356
2294,401577
2295,401972
2296,402003
2297,402171
2298,402639
2299,402865
2300,400616
2301,404153
2302,405041
2303,227981
2304,112036
2305,109774
2306,36606
2307,401185
2308,395281
2309,185744
2310,352649
2311,400559
2312,400781
2313,401171
2314,401175
2315,402259
2316,402396
2317,402518
2318,402695
2319,400585
2320,406764
2321,42090
2322,64823
2323,33003
2324,179366
2325,401113
2326,400195
2327,33814
2328,32051
2329,12918
2330,79819
2331,198686
2332,408395
2333,408982
2334,409601
2335,408655
2336,400345
2337,400364
2338,402346
2339,402523
2340,402682
2341,404623
2342,400797
2343,406935
2344,406114
2345,402823
2346,400053
2347,400596
2348,400738
2349,404340
2350,400028
2351,401864
2352,404449
2353,406379
2354,406470
2355,355886
2356,72266
2357,401329
2358,401336
2359,400623
2360,403356
2361,403789
2362,404809
2363,96416
2364,131993
2365,405889
2366,406948
2367,404710
2368,407753
2369,407901
2370,24663
2371,139444
2372,227643
2373,84622
2374,246863
2375,40577
2376,233016
2377,408377
2378,402167
2379,12729
2380,37977
2381,400107
2382,400236
2383,400349
2384,400675
2385,400785
2386,66105
2387,401029
2388,402025
2389,402480
2390,402778
2391,405100
2392,405395
2393,379561
2394,53175
2395,35877
2396,188594
2397,48681
2398,75757
2399,403698
2400,54946
2401,409949
2402,404570
2403,400224
2404,334977
2405,400457
2406,400987
2407,401312
2408,401410
2409,401454
2410,402327
2411,402593
